SITEID,LAT,LON
2007190271.0,-29.3302,142.5206
2007190272.0,-30.8484,138.1672
2007190273.0,-25.1788,143.2605
2007190274.0,-23.558,141.3611
2007190275.0,-30.312,119.0205
2007190276.0,-29.6406,145.2503
2007190278.0,-29.4583,150.0853
2007190279.0,-35.1245,147.5432
2007190281.0,-23.8917,113.9952
2007190282.0,-24.1068,116.455
2007190283.0,-24.5338,131.2238
2007190284.0,-27.2356,151.198
2007190285.0,-21.5304,147.047
2007190286.0,-30.4583,147.6841
2007190287.0,-29.5506,115.8131
2007190288.0,-14.94,132.4177
2007190289.0,-32.0513,118.1665
2007190290.0,-17.6576,133.5424
2007190291.0,-14.0533,135.8666
2007190292.0,-25.2228,118.9882
2007190293.0,-24.3121,145.2032
2007190294.0,-26.9311,133.8295
2007190296.0,-19.9216,132.5965
2007190298.0,-25.0562,140.1791
2007190299.0,-28.5677,144.2594
2007190301.0,-14.6808,134.5749
2007190302.0,-33.8883,119.8638
2007190303.0,-23.6526,151.0544
2007190304.0,-27.3553,115.9009
2007190305.0,-21.2912,116.1483
